Country,LastUpdate,Category,Indicator (text in app),value
CHE,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
AUT,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
EST,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
GRC,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
IRL,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
LVA,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ROU,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,28.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
AUT,28.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,28.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
BEL,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
AUT,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
EST,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
GRC,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
IRL,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
LVA,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ROU,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
SVK,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,29.06.2020 8:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
AUT,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
EST,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
GRC,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
IRL,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
LVA,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ROU,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
SVK,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,29.06.2020 23:59,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
AUT,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
EST,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
GRC,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
IRL,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
LVA,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
SVK,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,30.06.2020 21:41,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
AUT,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
EST,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
GRC,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
IRL,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
LVA,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
SVK,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
SWE,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,01.07.2020 21:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
AUT,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
EST,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
GRC,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
IRL,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
LVA,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
SVK,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
SWE,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,02.07.2020 16:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,03.07.2020 10:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
AUT,03.07.2020 10:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,03.07.2020 10:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,03.07.2020 10:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,03.07.2020 10:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,03.07.2020 10:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,03.07.2020 10:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
EST,03.07.2020 10:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,03.07.2020 10:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,03.07.2020 10:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,03.07.2020 10:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
